"Chinese agencies may not want to alert colleges to their involvement, because applications that clearly appear to come from agencies are rejected by U.S. colleges, but the agencies promote their success in Mandarin.",3,7583.545,8553.545,,
"The Future Boshi Overseas Education Agency in Beijing gives a tally on its Web site of clients admitted by each university, including two to Harvard in 2010 and one in 2011.",0,3725.222,4695.222,,
"Reached by telephone, an agency representative said the company did a lot more than just polish r_sum_s.",0,7700.732,8670.732,,
"ÒIf a clientÕs English is poor, our trained professionals can write the essay to make sure it looks perfect,Ó she said, speaking on the condition of anonymity to avoid repercussions from her employer.",2,4620.697,5590.697,,
"The industryÕs aggressive practices have been condemned by many American colleges, which say they disapprove of studentsÕ families hiring consultants.",7,8634.164,9604.164,,
"ÒStudents have a responsibility to identify their own path toward future goals, rather than keying in how to get into a certain school,Ó said Barbara Knuth, the vice provost at Cornell University in New York State, who oversees undergraduate admissions.",0,4844.592,5814.592,,
"Harvard said in an e-mail that it Òreviews every application individually and has no interactionÓ with college admission consulting firms, Òthough we are certainly aware of their existence.Ó",0,3593.468,4563.468,,
"The University of Pennsylvania, which accepted Ms. Lu from Shenzhen, did not respond to requests for comment.",0,2683.851,3653.851,,
"Despite the universitiesÕ unease with these practices, application consulting has proved too profitable to ignore.",5,3970.892,4940.892,,
"Mr. Ma said that out of 110 mainland students, only one has needed a refund, though two clients have been granted admission only if they pay full tuition.",0,3497.350,4467.350,,
Helping students from China clear the college entry hurdles has presented ThinkTank with a fresh set of challenges.,0,3611.744,4581.744,,
Often they have poor English language skills and have done little with their free time beyond homework.,1,1118.947,2088.947,,
Yet their parents often demand the Ivy League.,0,5730.088,6700.088,,
"ÒWe really have to hold their hand and do everything along with them,Ó Mr. Ma said, including deliberately leaving spelling mistakes on college essays so they look authentic, training them for the Test of English as a Foreign Language and building extracurricular activities from the ground up.",3,4033.122,5003.122,,
"ThinkTank has founded Model United Nations groups, built a Web site for a Shanghai studentÕs photography project to get news media coverage and helped another obtain funding to build a hydroelectric generator.",0,1493.220,2463.220,,
"For ambitious Chinese parents, ThinkTankÕs sales pitch is difficult to resist.",0,2435.110,3405.110,,
"Li Manhong, a homemaker from Beijing, has planned for years to send her 17-year-old son to an American college, going so far as to enroll him in a private high school in Portland, Oregon, for the past two years to improve his English and his r_sum_.",0,2717.987,3687.987,,
"After learning about ThinkTank from a neighbor, Ms. Li persuaded her husband to sign a contract for 90,000 renminbi, which focuses on nine selective U.S. schools.",0,2398.513,3368.513,,
ThinkTank will train her son for the SAT and help him pick internships and even college courses once he becomes a freshman.,0,2522.516,3492.516,,
Ms. Li sees the cost as an investment in her sonÕs future.,0,2162.447,3132.447,,
"ÒWhatever it takes to reach his maximum potential,Ó she said.",2,2302.317,3272.317,,
ÒItÕs worth it.Ó,2,0.619,970.619,,
